"Guid","AccountId","Application__c","Comments","ContactId","Description","IsEscalated","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedName","SuppliedPhone","Type","TypeDetail__c"
00431754-5227-43c2-af6f-1b84c615eff5,a33a3c73-1584-4e93-bfc2-9326b7ab4d64,"#N/A","#N/A",d8eadb72-7f8e-4716-a56b-5ef06bee6a84,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,New,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
00870394-602b-4b94-826e-be3c3f667bec,f23a2513-e0ed-460b-b911-a6d82f7512da,"#N/A","#N/A",1aad8e21-e0c5-4896-b4bc-1642b865e86d,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Closed,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
00a3a46b-9397-432d-9809-bef7891a7fc5,0194f785-9aa9-4fb4-854b-6513228c47fa,"#N/A","#N/A",721bcf0c-cf1c-4775-9235-aa54e19ac6e4,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Pending Approval,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0105666a-fd4d-440d-a001-9700b0376afb,e956d854-bd35-4928-955a-95d8b98c554e,"#N/A","#N/A",855cd021-d3e1-4636-ba90-6870e3b793af,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,On Hold,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0123b4c4-d044-4f2c-b359-9ef68cebac66,aead4992-4362-41bd-b29e-3e90053966e2,"#N/A","#N/A",1490998c-5d60-494a-ac51-3060afad247f,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Closed,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0165da82-b693-42a8-98cb-15a792aaed1c,ffe972ed-b4df-4ce7-ba6f-e41876e7b9f6,"#N/A","#N/A",a7ed40cb-0555-4998-9e0e-6a5164a1f44e,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,On Hold,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01a527fd-5653-408b-a715-6556adf32959,fd1987d9-3f09-4416-b179-e56120cd68ba,"#N/A","#N/A",9bb5a9f3-b00b-41f3-adf5-093a0336a0ba,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,New,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
01d415bd-9e51-4f9f-99c7-9e9998b8d3d6,97837d0e-359f-4ef0-923d-07ee95d363cf,"#N/A","#N/A",6082ff87-c18c-4702-9c6f-4f5a5fc1a5f6,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Escalated,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02019225-5f07-467c-a215-1869433cb17b,18848458-9759-47fb-9377-87e9aaf0ff52,"#N/A","#N/A",52d171bf-83ad-44ea-bfc9-8ae2da7b0e4f,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Rejected,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0205f556-336e-4a83-a1ae-bc1bd27cacf6,2963a71e-9ab5-4d03-abb7-2b5f868ab71b,"#N/A","#N/A",025ea54b-a791-4610-8fb4-bcc632af7dc3,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Pending Approval,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0212ad2f-fb95-4c56-8d22-66965aa115fd,b80cb6b9-9741-4892-bdbb-e4156dfe5d8d,"#N/A","#N/A",be94b844-d862-42db-a481-ea2b18c06722,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,On Hold,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
02135068-aaa1-4375-8021-a93bb9c630da,7a243221-74a0-4e1e-8823-891a0e645a41,"#N/A","#N/A",77c0cbe8-7745-4d06-b367-0f9d9a1f1a94,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Escalated,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
024101bd-3cf8-4b9c-aa30-bea8766cf8da,33cf6bee-d651-4d80-b9fd-dc11bf59ab00,"#N/A","#N/A",b976ecef-7532-4324-a5a1-ca659bd5bfaf,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Closed,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
029ba390-58f6-4cbf-b5ac-efed326836ee,95bad7c6-e62f-414c-8135-7c74be1ffef0,"#N/A","#N/A",83e24bd1-2968-4b51-a5ca-04535079db16,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Pending Approval,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
032a6a52-774e-47e1-809f-1b91c3d5a076,9b782585-0b01-4473-a35d-92e5791f8405,"#N/A","#N/A",6a75d63c-d2f1-4719-8a37-3880bbd59369,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Approved,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0391e05a-32ec-4176-8f20-e97280f20dd2,122e5928-2d95-45f7-9e99-78e98caeebbf,"#N/A","#N/A",94d63201-979c-4800-a2a8-5b49c8e439d2,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Approved,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03bcb0a7-8c99-450d-8aa1-3d15c990e7d0,dd7aa370-3adc-4903-b991-689e0650445b,"#N/A","#N/A",b05d4509-a1c9-41bd-83c8-fc435e02369c,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Pending Approval,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03edbda0-7172-487b-8565-3f9c97b3be4a,faf7a7b6-8d36-4eeb-9bed-d246df826f71,"#N/A","#N/A",7367725f-e07d-473a-a17b-e9715e985b6e,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,New,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03f816d8-8f33-49e8-8c98-227a678ae193,a19295db-238b-45c9-a942-68b5aae0f017,"#N/A","#N/A",bb8ca9e8-b21e-4e07-92c7-05c348becb0f,User Needs Help,false,"#N/A",Medium,User didn't attend training,Approved,Pivot Table Help - Bad Data Sources in Template,"#N/A","#N/A","#N/A",Problem,"#N/A"
03f854e7-af3f-46f4-9fa6-7bab97e77934,46629c90-9bcf-452d-9456-f76bbabc6822,"#N/A","#N/A",a8c8fb04-151a-4e9b-aa53-1b73879aa4a2,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,On Hold,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
040b3524-58af-46a3-b01e-e896bb05997e,586bc15b-1713-4ad9-b305-a54d0357f774,"#N/A","#N/A",9bf9e837-5037-41c5-9951-b8a3839c8469,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,New,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
