"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","IsExcludedFromTerritory2Filter","LeadSource","Name","NextStep","Pricebook2Id","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
005c6be2-7137-4707-8f2e-8dd16b213a5d,d84cbaef-dd3c-442b-a92a-27c521ff3a42,72395.0,2022-09-21,"#N/A","#N/A",Omitted,false,"#N/A",Yakidoo - Initial Sale,"#N/A",a1ca0f6b-4bb2-4b44-991d-6e7d0411b145,0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
007beef3-90e8-42a6-bc8f-b152f9c7b7c3,ba1dd909-a7f2-4d49-9078-21e2e3c3be4a,72395.0,2022-09-21,"#N/A","#N/A",Omitted,false,"#N/A",Fliptune - Initial Sale,"#N/A",a1ca0f6b-4bb2-4b44-991d-6e7d0411b145,0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
011ac4f2-9c0c-4f15-9e65-bd4e3cb76689,8b96866e-7b41-4531-9739-a7949a643628,32395.00000002,2023-02-04,"#N/A","#N/A",Closed,false,"#N/A",Voonix - Secondary Sale,"#N/A",a1ca0f6b-4bb2-4b44-991d-6e7d0411b145,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
015ee646-164b-4c23-8a96-1bd5f24369c5,6f7fd6d7-8bfa-408e-9706-7667ab4f2fb3,34995.0,2023-01-22,"#N/A","#N/A",Pipeline,false,"#N/A",Twinder - Additional Sale,"#N/A",a1ca0f6b-4bb2-4b44-991d-6e7d0411b145,75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
02692c39-610c-4f28-9c79-d43883d68816,693cf7c8-4412-435f-9dca-d3a100d36d08,18050.0,2023-04-20,"#N/A","#N/A",Pipeline,false,"#N/A",Uidoo - Cross-sell,"#N/A",a1ca0f6b-4bb2-4b44-991d-6e7d0411b145,75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
0279f36c-4188-4e7a-ab37-a5cbe74c892b,1576e644-5ac6-44e5-9839-c75d5030fd25,29995.0,2022-11-22,"#N/A","#N/A",Closed,false,"#N/A",Fatz - Additional Sale,"#N/A",a1ca0f6b-4bb2-4b44-991d-6e7d0411b145,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
028ac222-b7fa-4459-86cb-78bc776ab775,a33a3c73-1584-4e93-bfc2-9326b7ab4d64,11250.0,2023-04-20,"#N/A","#N/A",Pipeline,false,"#N/A",Eidelr-Ashpool - Cross-sell,"#N/A",a1ca0f6b-4bb2-4b44-991d-6e7d0411b145,75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
0294ac9a-c6b4-4d36-b43a-911fe4377fbb,11fcdef4-422d-4f4e-aa8b-81893f648a93,0.0,2023-04-21,"#N/A","#N/A",Pipeline,false,"#N/A",Blognation - SOW 2,"#N/A","#N/A",90.0,false,false,"#N/A",false,"#N/A","#N/A",false,Negotiation/Review,"#N/A","#N/A","#N/A",false,"#N/A"
02ff6691-2747-43dc-b2ad-e7b669c3e3bc,24201137-5f0b-4085-8a85-820bf3757421,32395.00000002,2023-02-04,"#N/A","#N/A",Closed,false,"#N/A",Tagopia - Secondary Sale,"#N/A",a1ca0f6b-4bb2-4b44-991d-6e7d0411b145,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
030511ff-979a-4bbd-94ee-b0178e3a5c57,c8b95580-c2e7-4a16-9529-745c84544184,73995.0,2023-02-26,"#N/A","#N/A",Pipeline,false,"#N/A",Realbridge - Initial Sale,"#N/A",a1ca0f6b-4bb2-4b44-991d-6e7d0411b145,75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
03236c30-c39e-4bcf-8e79-7e7ffa3050a6,c08b2806-2456-4694-96ec-0d82eda8f180,72395.0,2022-09-21,"#N/A","#N/A",Omitted,false,"#N/A",Skinte - Initial Sale,"#N/A",a1ca0f6b-4bb2-4b44-991d-6e7d0411b145,0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
