"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
1a00e186-49c7-464c-a8c4-4c2c1245fc69,DESCRIPTION,Left,3.0,"#N/A","#N/A",30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,50.0
1d9c2ef2-3edd-4aa7-a59e-98c4d0200342,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,10.0
35e00752-34e4-4014-9be0-25c8693c10f0,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,15.0
3d211a80-ac38-41ca-b2d9-789056e2b613,PART #,Left,3.0,"#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,10.0
4acb28ac-8c47-42de-9ec7-19662151ad5b,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,10.0
52cb28ff-ef4a-4fd3-b78f-b677c1bd92b3,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,10.0
6fc75445-d7b7-498b-adda-ade52dde2b8b,EXTENDED,Right,3.0,"#N/A","#N/A",60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,15.0
761c916f-7f23-48b9-a169-da5fd8e69648,QTY,Left,3.0,"#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,5.0
86dc728a-0832-4e9e-b351-a8ef770cc2fe,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,10.0
919a7b0a-69bb-464d-8506-7def3c121e03,DISC (%),Right,3.0,"#N/A","#N/A",50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,10.0
9f551a84-be9f-4888-bcc5-866027645e6b,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,35.0
fc281242-74ba-4059-89c9-946bb364660e,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,"#N/A",3.0,false,20.0
