"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__RenewalProductOption__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
01ed0bea-08f2-4bc3-912d-f8878d138773,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,17f1da61-81a2-411c-93d1-22444722bb56,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
03d48c07-4768-47aa-91da-6c311aa9b862,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,c1f7f120-2aff-4762-bbe6-d6f0bdff77fb,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
139c6878-5024-48ae-a2a5-04b8ec8c92a7,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,250a512c-c209-497b-9797-3dee5556ef1b,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
1b1a0e09-ea33-42ec-95a5-9e2b7309e1ae,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,0a79a626-e559-49b8-b172-00d6984be396,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
1f352b76-ab81-4a9c-bce2-17421358ff3b,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,0620c398-ac4e-42d6-a931-778bc14cd497,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
2b5080a8-4a16-4e24-8c73-918a81df1417,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,809eae11-2ead-4e74-a2b2-fdaefed7fc9b,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
2daf0b79-3486-4d19-a6fb-9cbb381c9228,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",5b18c8b6-0f30-4c0d-bfc1-55d8859de904,"#N/A","#N/A",12.0,927bf4b5-c4be-4010-b5f0-fe2ec67005e0,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
2ec48cb1-b908-4ff8-b855-065c405b4f86,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",7acb05c5-c521-427a-a1de-2588d5474eab,"#N/A",1.0,12.0,50625439-ea91-431e-99d8-ce1f91984a7d,true,1.0,"#N/A","#N/A",true,true,"#N/A",false,Component,"#N/A",false
30369477-cf77-431e-8c5c-3f5e7bc4a291,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,6a586b4a-9a14-4e98-8577-ba4f7738d3e3,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
3e895229-12c0-4d8a-ad3a-f0d77e23000e,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,fc8a4ce3-b2a3-467d-bc32-f5cb416c7780,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
