"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
37f3d5a6-159e-4344-824a-6b614196385a,false,"#N/A",707Do000001EhIk,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
39592890-f985-4b90-b652-9f05fd466e46,false,"#N/A",707Do000001EhIm,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
3e3ec711-2e40-4469-aa98-769c35de9913,true,"#N/A",707Do000001EhIn,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
5cae6c2d-d9ba-444c-974a-ecdf1606c0d1,false,"#N/A",707DC000013g6No,"#N/A",a2HDC000002Fdm32AC::CustomScriptTranspiler,"#N/A","#N/A"
609c4900-587f-4307-b37d-c184c0426cee,false,"#N/A",707Do000001EhIl,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
9b6a1f27-9a50-4724-8f3c-f1995ea30733,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
aefe5b03-f9a7-4b27-b500-83c25626d63e,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
b860ffda-2a24-47d8-81b4-d4b4c5b82b47,false,"#N/A",707DC000013g6No,"#N/A",a2HDC000002Fdm22AC::CustomScriptTranspiler,"#N/A","#N/A"
bf7395eb-00f8-4e1e-bdc0-a4bb1d7cb903,false,"#N/A",707Do000001EhIj,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
e0751c6b-3678-46d1-be7d-069d178304dc,false,"#N/A",707DC000013g6No,"#N/A",a2HDC000002Fdm12AC::CustomScriptTranspiler,"#N/A","#N/A"
ecef4703-1902-4784-a3c2-1734e03487c0,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
fa636c04-05ee-481b-83cf-72d45070f48e,false,"#N/A",707DC000013g6No,"#N/A",a2HDC000002Fdm42AC::CustomScriptTranspiler,"#N/A","#N/A"
